InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
m5zn.xlarge,us-east-1,use1-az4,3.0,0.0,0.1302
m5zn.xlarge,us-east-1,use1-az2,3.0,0.0,0.1308
m5zn.xlarge,us-east-1,use1-az5,3.0,0.0,0.1298
a1.2xlarge,us-east-1,use1-az4,3.0,0.0,0.201
m7i-flex.xlarge,us-east-1,use1-az5,3.0,0.0,0.1258
d2.4xlarge,us-east-1,use1-az4,3.0,0.0,0.8132
d2.4xlarge,us-east-1,use1-az2,3.0,0.0,0.7994
d2.4xlarge,us-east-1,use1-az6,3.0,0.0,0.7467
d2.4xlarge,us-east-1,use1-az1,3.0,0.0,0.8866
d2.4xlarge,us-east-1,use1-az3,3.0,0.0,0.8186
r6idn.4xlarge,us-east-1,use1-az4,3.0,0.0,0.5699
r6idn.4xlarge,us-east-1,use1-az2,3.0,0.0,0.5638
r6idn.4xlarge,us-east-1,use1-az5,3.0,0.0,0.5951
r6idn.4xlarge,us-east-1,use1-az6,3.0,0.0,0.5164
m2.4xlarge,us-east-1,use1-az4,3.0,0.0,0.1135
m2.4xlarge,us-east-1,use1-az2,3.0,0.0,0.2082
c5a.8xlarge,us-east-1,use1-az5,3.0,0.0,0.8403
c5a.8xlarge,us-east-1,use1-az6,3.0,0.0,0.826
c5a.8xlarge,us-east-1,use1-az1,3.0,0.0,0.8723
c5a.8xlarge,us-east-1,use1-az2,3.0,0.0,0.9257
c5a.8xlarge,us-east-1,use1-az4,3.0,0.0,0.8754
c7i.8xlarge,us-east-1,use1-az2,3.0,0.0,0.8892
c7i.8xlarge,us-east-1,use1-az5,3.0,0.0,0.8931
c6in.8xlarge,us-east-1,use1-az6,3.0,0.0,0.992
r6in.xlarge,us-east-1,use1-az6,3.0,0.0,0.1449
r6in.xlarge,us-east-1,use1-az5,3.0,0.0,0.113
r6in.xlarge,us-east-1,use1-az4,3.0,0.0,0.1252
r6in.xlarge,us-east-1,use1-az2,3.0,0.0,0.1154
i4g.xlarge,us-east-1,use1-az2,3.0,0.0,0.1291
i4g.xlarge,us-east-1,use1-az4,3.0,0.0,0.1259
i4g.xlarge,us-east-1,use1-az5,3.0,0.0,0.1128
i4g.xlarge,us-east-1,use1-az6,3.0,0.0,0.1266
c6in.4xlarge,us-east-1,use1-az5,3.0,0.0,0.4708
c6in.4xlarge,us-east-1,use1-az4,3.0,0.0,0.4815
c6in.4xlarge,us-east-1,use1-az6,3.0,0.0,0.449
c6in.4xlarge,us-east-1,use1-az2,3.0,0.0,0.4578
g4ad.2xlarge,us-east-1,use1-az1,3.0,0.0,0.3158
g4ad.2xlarge,us-east-1,use1-az2,3.0,0.0,0.2845
g4ad.2xlarge,us-east-1,use1-az4,3.0,0.0,0.2923
g4ad.2xlarge,us-east-1,use1-az6,3.0,0.0,0.3188
x1e.2xlarge,us-east-1,use1-az6,3.0,0.0,0.4922
x1e.2xlarge,us-east-1,use1-az4,3.0,0.0,0.4614
x1e.2xlarge,us-east-1,use1-az2,3.0,0.0,0.4934
c3.8xlarge,us-east-1,use1-az4,3.0,0.0,0.9577
m6a.4xlarge,us-east-1,use1-az6,3.0,0.0,0.4803
m6a.4xlarge,us-east-1,use1-az4,3.0,0.0,0.5029
m6a.4xlarge,us-east-1,use1-az2,3.0,0.0,0.4491
m6a.4xlarge,us-east-1,use1-az5,3.0,0.0,0.4456
m6id.8xlarge,us-east-1,use1-az6,3.0,0.0,0.9435
m6id.8xlarge,us-east-1,use1-az4,3.0,0.0,0.86
m6idn.large,us-east-1,use1-az4,3.0,0.0,0.0634
m6idn.large,us-east-1,use1-az5,3.0,0.0,0.0567
m6idn.large,us-east-1,use1-az6,3.0,0.0,0.0565
r6g.xlarge,us-east-1,use1-az4,3.0,0.0,0.111
r6g.xlarge,us-east-1,use1-az1,3.0,0.0,0.1161
r6g.xlarge,us-east-1,use1-az2,3.0,0.0,0.1247
r6g.xlarge,us-east-1,use1-az5,3.0,0.0,0.1149
r6g.xlarge,us-east-1,use1-az6,3.0,0.0,0.1086
r5a.8xlarge,us-east-1,use1-az5,3.0,0.0,0.9336
r5a.8xlarge,us-east-1,use1-az4,3.0,0.0,0.9921
c7gd.2xlarge,us-east-1,use1-az6,3.0,0.0,0.2532
c7gd.2xlarge,us-east-1,use1-az2,3.0,0.0,0.2512
c7gd.2xlarge,us-east-1,use1-az5,3.0,0.0,0.2516
c7gd.2xlarge,us-east-1,use1-az4,3.0,0.0,0.2499
c7gn.2xlarge,us-east-1,use1-az5,3.0,0.0,0.2609
c7gn.2xlarge,us-east-1,use1-az6,3.0,0.0,0.2421
t3a.micro,us-east-1,use1-az1,3.0,0.0,0.0067
t3a.micro,us-east-1,use1-az6,3.0,0.0,0.007
t3a.micro,us-east-1,use1-az5,3.0,0.0,0.008
t3a.micro,us-east-1,use1-az4,3.0,0.0,0.0072
t3a.micro,us-east-1,use1-az2,3.0,0.0,0.0079
r6i.4xlarge,us-east-1,use1-az2,3.0,0.0,0.4587
r6i.4xlarge,us-east-1,use1-az6,3.0,0.0,0.4941
r6i.4xlarge,us-east-1,use1-az4,3.0,0.0,0.4835
r6i.4xlarge,us-east-1,use1-az5,3.0,0.0,0.4755
m5ad.xlarge,us-east-1,use1-az6,3.0,0.0,0.1292
m5ad.xlarge,us-east-1,use1-az1,3.0,0.0,0.1308
m5ad.xlarge,us-east-1,use1-az5,3.0,0.0,0.1115
m5ad.xlarge,us-east-1,use1-az2,3.0,0.0,0.1267
m5ad.xlarge,us-east-1,use1-az4,3.0,0.0,0.1269
t3a.small,us-east-1,use1-az5,3.0,0.0,0.0138
t3a.small,us-east-1,use1-az2,3.0,0.0,0.0148
t3a.small,us-east-1,use1-az6,3.0,0.0,0.0158
t3a.small,us-east-1,use1-az1,3.0,0.0,0.0158
t3a.small,us-east-1,use1-az4,3.0,0.0,0.0158
m2.xlarge,us-east-1,use1-az4,3.0,0.0,0.0468
m2.xlarge,us-east-1,use1-az6,3.0,0.0,0.0507
m2.xlarge,us-east-1,use1-az2,3.0,0.0,0.0606
m7i-flex.8xlarge,us-east-1,use1-az5,3.0,0.0,0.8967
m6a.large,us-east-1,use1-az6,3.0,0.0,0.0491
m6a.large,us-east-1,use1-az4,3.0,0.0,0.0561
m6a.large,us-east-1,use1-az2,3.0,0.0,0.0613
m6a.large,us-east-1,use1-az5,3.0,0.0,0.0626
m5.large,us-east-1,use1-az5,3.0,0.0,0.0613
m5.large,us-east-1,use1-az6,3.0,0.0,0.0491
m5.large,us-east-1,use1-az4,3.0,0.0,0.0528
m5.large,us-east-1,use1-az1,3.0,0.0,0.0544
m5.large,us-east-1,use1-az2,3.0,0.0,0.0597
m7i.8xlarge,us-east-1,use1-az4,3.0,0.0,0.9404
i3.xlarge,us-east-1,use1-az3,3.0,0.0,0.126
