InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
r5.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.245
r5.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2248
r5.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.25
m5d.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2065
m5d.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1727
m5d.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.1597
m5d.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1828
i4i.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.9476
i4i.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.9582
c7g.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1621
c7g.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2055
c7g.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1808
c7g.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.1734
m7g.medium,us-west-2,usw2-az3,3.0,0.0,0.0209
m7g.medium,us-west-2,usw2-az1,3.0,0.0,0.0297
m7g.medium,us-west-2,usw2-az2,3.0,0.0,0.0254
c6g.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.5923
c6g.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.4992
c6g.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.8119
c6g.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.904
m5zn.3xlarge,us-west-2,usw2-az1,3.0,0.0,0.3931
m5zn.3xlarge,us-west-2,usw2-az3,3.0,0.0,0.5228
r6idn.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2584
r6idn.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.2617
r6idn.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.3344
m7a.medium,us-west-2,usw2-az2,3.0,0.0,0.0263
m7a.medium,us-west-2,usw2-az1,3.0,0.0,0.0223
m7a.medium,us-west-2,usw2-az3,3.0,0.0,0.0304
m5.12xlarge,us-west-2,usw2-az3,3.0,0.0,0.9846
r5.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.2941
r5.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.5073
r5.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.3966
r5.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.5067
r5.xlarge,us-west-2,usw2-az2,3.0,0.0,0.1018
r5.xlarge,us-west-2,usw2-az3,3.0,0.0,0.0951
r5.xlarge,us-west-2,usw2-az4,3.0,0.0,0.0843
r5.xlarge,us-west-2,usw2-az1,3.0,0.0,0.1092
r5d.large,us-west-2,usw2-az2,3.0,0.0,0.0614
r5d.large,us-west-2,usw2-az1,3.0,0.0,0.0544
r5d.large,us-west-2,usw2-az4,3.0,0.0,0.0446
r5d.large,us-west-2,usw2-az3,3.0,0.0,0.0605
c6i.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.6834
c6i.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.6735
c6i.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.6284
c6i.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.6639
c5d.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2419
c5d.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.1731
c5d.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1742
