SpotPrice,Savings,SPS,AZ,Region,InstanceType,IF,time
0.0013,70,3,eun1-az3,eu-north-1,t4g.nano,2.5,2022-07-12 04:20:02+00:00
0.2042,76,3,use2-az1,us-east-2,m4.4xlarge,1.5,2022-07-12 04:20:02+00:00
0.8802,69,3,apne1-az2,ap-northeast-1,m6gd.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.5274,79,3,apne2-az3,ap-northeast-2,r5ad.8xlarge,3.0,2022-07-12 04:20:02+00:00
1.1543,69,3,euw1-az2,eu-west-1,m5ad.16xlarge,1.0,2022-07-12 04:20:02+00:00
1.0664,73,3,use1-az6,us-east-1,r5ad.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.0029,70,3,euc1-az2,eu-central-1,t4g.micro,3.0,2022-07-12 04:20:02+00:00
0.0275,90,1,usw1-az1,us-west-1,m2.xlarge,1.0,2022-07-12 04:20:02+00:00
0.1464,79,3,apne3-az1,ap-northeast-3,r5d.2xlarge,1.5,2022-07-12 04:20:02+00:00
0.0393,66,3,use1-az6,us-east-1,c5d.large,3.0,2022-07-12 04:20:02+00:00
0.8802,69,3,apne1-az1,ap-northeast-1,m6gd.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.5217,73,3,apne2-az3,ap-northeast-2,m5.8xlarge,1.0,2022-07-12 04:20:02+00:00
0.0144,70,3,euc1-az1,eu-central-1,t3.medium,3.0,2022-07-12 04:20:02+00:00
0.0419,76,3,use2-az2,us-east-2,m6a.xlarge,2.5,2022-07-12 04:20:02+00:00
1.1543,69,3,euw1-az3,eu-west-1,m5ad.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.0433,68,3,euw1-az2,eu-west-1,m5ad.large,2.5,2022-07-12 04:20:02+00:00
1.1544,70,3,euw1-az1,eu-west-1,d3en.6xlarge,2.5,2022-07-12 04:20:02+00:00
1.0666,77,3,euw3-az1,eu-west-3,r5.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.8802,63,3,apne1-az4,ap-northeast-1,m6g.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.03,78,3,eun1-az1,eu-north-1,r5.large,2.5,2022-07-12 04:20:02+00:00
0.1464,80,3,apne1-az4,ap-northeast-1,r5b.2xlarge,3.0,2022-07-12 04:20:02+00:00
0.5343,70,3,cac1-az1,ca-central-1,r6g.8xlarge,2.5,2022-07-12 04:20:02+00:00
1.1544,70,3,euw1-az2,eu-west-1,d3en.6xlarge,2.5,2022-07-12 04:20:02+00:00
0.031,77,3,usw2-az1,us-west-2,m3.large,3.0,2022-07-12 04:20:02+00:00
0.1524,81,3,use2-az3,us-east-2,c4.4xlarge,2.0,2022-07-12 04:20:02+00:00
0.0397,76,3,euw1-az2,eu-west-1,r6id.large,2.5,2022-07-12 04:20:02+00:00
0.3419,75,3,apse2-az2,ap-southeast-2,r5d.4xlarge,2.5,2022-07-12 04:20:02+00:00
1.0666,77,3,euw3-az2,eu-west-3,r5.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.8802,63,3,apne1-az2,ap-northeast-1,m6g.12xlarge,2.5,2022-07-12 04:20:02+00:00
0.03,76,3,apne2-az3,ap-northeast-2,m4.large,3.0,2022-07-12 04:20:02+00:00
1.1544,70,3,euw1-az3,eu-west-1,d3en.6xlarge,2.5,2022-07-12 04:20:02+00:00
0.5274,81,3,apne2-az1,ap-northeast-2,r5b.8xlarge,2.5,2022-07-12 04:20:02+00:00
